Sample in Buffer,Sample in Window,TRIGGER,example_top/MonopulseEx_Arithmetic1/Arithmetic1/test_num[15:0],example_top/AD_Count[2:0],example_top/Arithmetic_State[1:0],Period_condition_1[10:10],example_top/CountRead_tem[31:0],example_top/CountWrite_tem[31:0],example_top/Behind_area[5:0],Behind_area[15:6],example_top/Count[15:0],example_top/Period_condition[5:0],Period_condition_2[15:6],example_top/Period_count[5:0],example_top/Front_area[5:0],Front_area[15:6],example_top/MonopulsePosition_1[5:0],MonopulsePosition[15:6],example_top/MonopulsePosition[31:16],example_top/Read_Fifo_Out_r[15:0],example_top/Fourth_moment[40:0],example_top/Mean_value_remainders[7:0],example_top/Monopulse_data_01[7:0],example_top/Monopulse_num_reg[15:0],example_top/Mean_value[7:0],example_top/PeriodPoint_num[31:0],example_top/Pulse_point_num[15:0],example_top/ReadPosition[31:0],example_top/Read_Fifo_rusdw_o[10:0],example_top/Read_Fifo_wusdw_o[7:0],example_top/Second_moment[23:0],example_top/SendToArm_Count[7:0],Period_condition_3[10:10],Period_condition_4[10:10],Period_condition_5[10:10],Period_condition_6[10:10],Period_condition_7[10:10],Period_condition_8[10:10],Period_condition_9[10:10],Period_condition_10[10:10],Period_condition_11[10:10],Period_condition_12[10:10],Period_condition_13[10:10],Period_condition_14[10:10],Period_condition_15[10:10],Period_condition_16[10:10],Period_condition_17[10:10],Period_condition[10:10],example_top/Monopulse_data_1[7:0],example_top/Read_Fifo_Out[15:0],example_top/SendToArm_Data[31:0],example_top/Square_data[20:0],example_top/Third_moment[32:0],example_top/Total_area[15:0],example_top/Monopulse_data1[15:0],example_top/Monopulse_data_00[7:0],example_top/Monopulse_num[15:0],example_top/Peak_value[7:0],example_top/Write_Fifo_Out[127:0],example_top/app_wdf_data[127:0],example_top/app_rd_data2[15:0],example_top/app_rd_data7[15:0],example_top/app_rd_data3[15:0],example_top/ddr3_wr_data_r[127:0],example_top/app_rd_data5[15:0],example_top/app_addr[28:0],example_top/time_cnt_n[15:0],example_top/app_rd_data1[15:0],example_top/time_cnt[15:0],example_top/app_addr_begin[28:0],example_top/app_rd_data4[15:0],example_top/app_rd_data6[15:0],example_top/bit_count[7:0],example_top/Write_Fifo_rusdw_o[7:0],example_top/Total_area_reg[15:0],example_top/WaveState[1:0],example_top/ddr3_wr_data[127:0],example_top/app_rd_data[127:0],example_top/ii[15:0],example_top/state[3:0],example_top/state1[3:0],example_top/app_rd_data8[15:0],example_top/Write_Fifo_datain[7:0],example_top/app_rd_data_valid,u_ila_0_app_rdy,u_ila_0_clk,example_top/ddr3_allwr_flag,example_top/ddr3_flag,example_top/ddr3_oneperiod_flag,example_top/ddr3_onewr_flag,example_top/ddr3read_en,example_top/ddr3write_en,example_top/Extract_en,example_top/FeatureExtraction_flag,u_ila_0_FeatureExtraction_flag_reg_1,example_top/FeatureExtraction_flag_reg_r,init_calib_complete_OBUF,example_top/OnePeriod_flag,u_ila_0_FeatureExtraction_flag_reg,example_top/Period_flag,example_top/ProsessIn,example_top/ProsessIn1,example_top/Read_Fifo_empty,example_top/Read_Fifo_full,example_top/Read_Fifo_in_en1,example_top/Read_Fifo_rden,example_top/Read_Fifo_rst,example_top/Read_Fifo_wren,example_top/Read_Over_flag,example_top/S_FeatureExtraction_flag_neg,example_top/S_FeatureExtraction_flag_reg1,example_top/S_FeatureExtraction_flag_reg2,example_top/SendToArm_begin,example_top/SendToArm_Over,example_top/Write_Fifo_empty,example_top/Write_Fifo_full,example_top/WriteSign
0,0,0,1c82,7,0,0,47696563,00000000,-28,0,0000,06,000,0a,2a,077,00,094,3b4b,002a,5262284609,44,4f,0032,154,00000000,50,3b4b2501,617,c4,404489,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,162,0,000000,-10385651,7694,7,4e,50,255,00a100a200a300a400a500a600a700a8,00000000000000000000000000000000,004e,0049,004d,00000000000000000000000000000000,004b,1b4b2b10,0000,004f,0,1b4b2b10,004c,004a,53,00,7694,1,00000000000000000000000000000000,00480049004a004b004c004d004e004f,0000,4,0,0048,53,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
1,1,0,1c84,0,0,0,47696563,00000000,-28,0,0000,06,000,0a,2a,077,01,094,3b4b,0081,5262284609,44,4f,0032,154,00000000,51,3b4b2502,616,c4,404489,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,129,0,000000,-10385651,7694,7,4e,50,255,00a100a200a300a400a500a600a700a8,00000000000000000000000000000000,004e,0049,004d,00000000000000000000000000000000,004b,1b4b2b10,0000,004f,0,1b4b2b10,004c,004a,54,00,7694,1,00000000000000000000000000000000,00480049004a004b004c004d004e004f,0000,4,0,0048,54,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
2,2,0,1c87,1,0,0,47696563,00000000,-28,0,0000,06,000,0a,2a,077,02,094,3b4b,0080,5262284609,44,4f,0032,154,00000000,52,3b4b2503,615,c4,404489,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,130,0,000000,-10385651,7694,7,4e,50,255,00a100a200a300a400a500a600a700a8,00000000000000000000000000000000,004e,0049,004d,00000000000000000000000000000000,004b,1b4b2b10,0000,004f,0,1b4b2b10,004c,004a,55,00,7694,1,00000000000000000000000000000000,00480049004a004b004c004d004e004f,0000,4,0,0048,55,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
3,3,0,1c87,2,0,0,47696563,00000000,-28,0,0000,06,000,0a,2a,077,03,094,3b4b,0082,5262284609,44,4f,0032,154,00000000,53,3b4b2504,614,c4,404489,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,131,0,000000,-10385651,7694,7,4e,50,255,00a100a200a300a400a500a600a700a8,00000000000000000000000000000000,004e,0049,004d,00000000000000000000000000000000,004b,1b4b2b10,0000,004f,0,1b4b2b10,004c,004a,56,00,7694,1,00000000000000000000000000000000,00480049004a004b004c004d004e004f,0000,4,0,0048,56,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
4,4,0,1c80,4,0,0,47696563,00000000,-28,0,0000,06,000,0a,2a,077,04,094,3b4b,0086,5262284609,44,4f,0032,154,00000000,54,3b4b2505,613,c4,404489,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,134,0,000000,-10385651,7694,7,4e,50,255,00a100a200a300a400a500a600a700a8,00000000000000000000000000000000,004e,0049,004d,00000000000000000000000000000000,004b,1b4b2b10,0000,004f,0,1b4b2b10,004c,004a,58,00,7694,1,00000000000000000000000000000000,00480049004a004b004c004d004e004f,0000,4,0,0048,57,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
5,5,0,1c8b,5,0,0,47696563,00000000,-28,0,0000,06,000,0a,2a,077,05,094,3b4b,0085,5262284609,44,4f,0032,154,00000000,55,3b4b2506,612,c3,404489,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,133,0,000000,-10385651,7694,7,4e,50,255,00a100a200a300a400a500a600a700a8,00000000000000000000000000000000,004e,0049,004d,00000000000000000000000000000000,004b,1b4b2b10,0000,004f,0,1b4b2b10,004c,004a,59,00,7694,1,00000000000000000000000000000000,00480049004a004b004c004d004e004f,0000,4,0,0048,59,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
6,6,0,1c83,6,0,0,47696563,00000000,-28,0,0000,06,000,0a,2a,077,06,094,3b4b,0084,5262284609,44,4f,0032,154,00000000,56,3b4b2507,611,c3,404489,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,134,0,000000,-10385651,7694,7,4e,50,255,00a100a200a300a400a500a600a700a8,00000000000000000000000000000000,004e,0049,004d,00000000000000000000000000000000,004b,1b4b2b10,0000,004f,0,1b4b2b10,004c,004a,5a,00,7694,1,00000000000000000000000000000000,00480049004a004b004c004d004e004f,0000,4,0,0048,5a,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
7,7,0,1c84,7,0,0,47696563,00000000,-28,0,0000,06,000,0a,2a,077,07,094,3b4b,0086,5262284609,44,4f,0032,154,00000000,57,3b4b2508,610,c3,404489,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,135,0,000000,-10385651,7694,7,4e,50,255,00a100a200a300a400a500a600a700a8,00000000000000000000000000000000,004e,0049,004d,00000000000000000000000000000000,004b,1b4b2b10,0000,004f,0,1b4b2b10,004c,004a,5b,00,7694,1,00000000000000000000000000000000,00480049004a004b004c004d004e004f,0000,4,0,0048,5b,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
8,8,0,1c87,1,0,0,47696563,00000000,-28,0,0000,06,000,0a,2a,077,08,094,3b4b,0082,5262284609,44,4f,0032,154,00000000,58,3b4b2509,60f,c3,404489,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,138,0,000000,-10385651,7694,7,4e,50,255,00a100a200a300a400a500a600a700a8,00000000000000000000000000000000,004e,0049,004d,00000000000000000000000000000000,004b,1b4b2b10,0000,004f,0,1b4b2b10,004c,004a,5d,00,7694,1,00000000000000000000000000000000,00480049004a004b004c004d004e004f,0000,4,0,0048,5d,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
9,9,0,1c87,2,0,0,47696563,00000000,-28,0,0000,06,000,0a,2a,077,09,094,3b4b,0089,5262284609,44,4f,0032,154,00000000,59,3b4b250a,60e,c3,404489,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,137,0,000000,-10385651,7694,7,4e,50,255,00a100a200a300a400a500a600a700a8,00000000000000000000000000000000,004e,0049,004d,00000000000000000000000000000000,004b,1b4b2b10,0000,004f,0,1b4b2b10,004c,004a,5e,00,7694,1,00000000000000000000000000000000,00480049004a004b004c004d004e004f,0000,4,0,0048,5e,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
