Sample in Buffer,Sample in Window,TRIGGER,example_top/MonopulseEx_Arithmetic1/Arithmetic1/Monopulse_data_vi[7:0],example_top/MonopulseEx_Arithmetic1/Arithmetic1/Cube_data[32:0],example_top/MonopulseEx_Arithmetic1/Arithmetic1/Biquadrate_data[40:0],u_ila_0_Square_data[20:0],example_top/MonopulseEx_Arithmetic1/Arithmetic1/SubtractionMean_data_n[8:0],example_top/MonopulseEx_Arithmetic1/Arithmetic1/SubtractionMean_data2[9:0],example_top/MonopulseEx_Arithmetic1/Monopulse_extraction_1/send_count[15:0],example_top/Fourth_moment[40:0],example_top/Count[15:0],example_top/Monopulse_data1[15:0],u_ila_0_Arithmetic_State[2:0],u_ila_0_Monopulse_data_1[7:0],example_top/Monopulse_num[15:0],example_top/Period_count[5:0],example_top/Behind_area[5:0],Behind_area[15:6],example_top/Write_Fifo_datain[7:0],example_top/Second_moment[23:0],example_top/ddr3read_en2[24:0],example_top/feature_num[31:0],example_top/ddr3read_en1[24:0],example_top/Read_Fifo_rusdw_o[10:0],example_top/Read_Fifo_Out[15:0],example_top/time_cnt[15:0],example_top/Third_moment[32:0],example_top/ii[15:0],example_top/Pulse_point_num[15:0],u_ila_0_WaveState[1:0],u_ila_0_FeatureExtraction_flag,SendIRQ_OBUF,example_top/Read_Fifo_empty,u_ila_0_Read_Fifo_rden,example_top/S_FeatureExtraction_flag_reg1
0,0,0,0,1ffffbb58,0000006f910,0002a4,111100110,26,7,634502446,0,105,3,69,40,5,111011,0000001101,105,80950,0000000,5080,0000000,1184,105,0,5449974,0031,4,0,0,0,0,1,0
1,1,0,0,1ffffbb58,0000006f910,0002a4,111100110,26,7,634502446,0,105,3,69,40,5,111011,0000001101,105,80950,0000000,5080,0000000,1183,105,0,5449974,0031,4,0,0,0,0,1,0
2,2,0,0,1ffffbb58,0000006f910,0002a4,111100110,26,7,634502446,0,105,3,69,40,5,111011,0000001101,105,80950,0000000,5080,0000000,1182,105,0,5449974,0031,4,0,0,0,0,1,0
3,3,0,0,1ffffbb58,0000006f910,0002a4,111100110,26,7,634502446,0,105,3,69,40,5,111011,0000001101,105,80950,0000000,5080,0000000,1181,105,0,5449974,0031,4,0,0,0,0,1,0
4,4,0,0,1ffffbb58,0000006f910,0002a4,111100110,26,7,634502446,0,105,3,69,40,5,111011,0000001101,105,80950,0000000,5080,0000000,1180,105,0,5449974,0031,4,0,0,0,0,1,0
5,5,0,0,1ffffbb58,0000006f910,0002a4,111100110,26,7,634502446,0,105,3,69,40,5,111011,0000001101,105,80950,0000000,5080,0000000,1179,105,0,5449974,0031,4,0,0,0,0,1,0
6,6,0,0,1ffffbb58,0000006f910,0002a4,111100110,26,7,634502446,0,105,3,69,40,5,111011,0000001101,105,80950,0000000,5080,0000000,1178,105,0,5449974,0031,4,0,0,0,0,1,0
7,7,0,0,1ffffbb58,0000006f910,0002a4,111100110,26,7,634502446,0,105,3,69,40,5,111011,0000001101,105,80950,0000000,5080,0000000,1177,105,0,5449974,0031,4,0,0,0,0,1,0
8,8,0,0,1ffffbb58,0000006f910,0002a4,111100110,26,7,634502446,0,105,3,69,40,5,111011,0000001101,105,80950,0000000,5080,0000000,1176,105,0,5449974,0031,4,0,0,0,0,1,0
9,9,0,0,1ffffbb58,0000006f910,0002a4,111100110,26,7,634502446,0,105,3,69,40,5,111011,0000001101,105,80950,0000000,5080,0000000,1175,105,0,5449974,0031,4,0,0,0,0,1,0
