Sample in Buffer,Sample in Window,TRIGGER,example_top/MonopulseEx_Arithmetic1/Monopulse_extraction_1/send_count[15:0],example_top/MonopulseExHold[7:0],u_ila_1_Monopulse_data_1[7:0],u_ila_1_Period_count[5:0],example_top/Arithmetic_State[2:0],example_top/Front_area[5:0],Front_area[15:6],example_top/Monopulse_data1[15:0],example_top/Monopulse_num[15:0],example_top/Behind_area[5:0],Behind_area[15:6],example_top/Fourth_moment[40:0],example_top/Count[15:0],example_top/feature_num[31:0],example_top/Pulse_point_num[15:0],example_top/Second_moment[23:0],example_top/Third_moment[32:0],example_top/state[3:0],example_top/ii[15:0],u_ila_1_WaveState[1:0],example_top/Write_Fifo_datain[7:0],example_top/Read_Fifo_Out_r[15:0],example_top/time_cnt[15:0],example_top/MonopulseEx_Arithmetic1/Arithmetic1/Cube_data[32:0],example_top/MonopulseEx_Arithmetic1/Arithmetic1/Monopulse_data_vi[7:0],example_top/MonopulseEx_Arithmetic1/Arithmetic1/Biquadrate_data[40:0],u_ila_1_Square_data[20:0],example_top/MonopulseEx_Arithmetic1/Arithmetic1/SubtractionMean_data_n[8:0],example_top/MonopulseEx_Arithmetic1/Arithmetic1/SubtractionMean_data2[9:0],u_ila_1_FeatureExtraction_flag,SendIRQ_OBUF,example_top/S_FeatureExtraction_flag_reg1,SendOver,SendOver1,SendOver_reg1,SendOver_reg2,example_top/SendToArm_begin,example_top/SendToArm_Over,StartSample,StartSample1,StartSample_reg1,StartSample_reg2,example_top/MonopulseEx_Arithmetic1/Monopulse_extraction_1/Threshould_flag
0,0,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,136,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
1,1,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,136,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
2,2,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,136,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
3,3,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,136,138,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
4,4,0,13,06,8a,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,136,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
5,5,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,128,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
6,6,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
7,7,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,137,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
8,8,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,130,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
9,9,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
10,10,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,134,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
11,11,0,13,06,86,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
12,12,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
13,13,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
14,14,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
15,15,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
16,16,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
17,17,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
18,18,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
19,19,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
20,20,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
21,21,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
22,22,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,134,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
23,23,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
24,24,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
25,25,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
26,26,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
27,27,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
28,28,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
29,29,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
30,30,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
31,31,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
32,32,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
33,33,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
34,34,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
35,35,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
36,36,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
37,37,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
38,38,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
39,39,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
40,40,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
41,41,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
42,42,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
43,43,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
44,44,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
45,45,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
46,46,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
47,47,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
48,48,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
49,49,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
50,50,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
51,51,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
52,52,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
53,53,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
54,54,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
55,55,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
56,56,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
57,57,0,13,06,87,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,138,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
58,58,0,13,06,8a,05,3,101100,0000000011,135,35,001000,0000000011,213001896,0,54,10,28524,2287330,4,002c,0,135,135,0,1fffffc18,0,00000002710,100,111110110,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0
