Sample in Buffer,Sample in Window,TRIGGER,example_top/Fourth_moment[40:0],example_top/Front_area[5:0],Front_area[15:6],example_top/Mean_value_remainders[7:0],example_top/MonopulsePosition_1[5:0],MonopulsePosition[15:6],example_top/MonopulsePosition[31:16],example_top/Monopulse_num[15:0],example_top/Mean_value[7:0],example_top/Monopulse_data1[15:0],example_top/Behind_area[5:0],Behind_area[15:6],example_top/Count[15:0],u_ila_1_Monopulse_data_1[7:0],example_top/Arithmetic_State[2:0],example_top/Second_moment[23:0],u_ila_1_WaveState[1:0],example_top/Pulse_point_num[15:0],example_top/time_cnt[15:0],example_top/PeriodPoint_num[31:0],u_ila_1_SendToArm_Data[31:0],example_top/Total_area[15:0],example_top/Read_Fifo_Out[15:0],example_top/Peak_value[7:0],Period_condition_1[10:10],Period_condition_2[10:10],Period_condition_3[10:10],Period_condition_4[10:10],Period_condition_5[10:10],Period_condition_6[10:10],Period_condition_7[10:10],Period_condition_8[10:10],Period_condition_9[10:10],Period_condition_10[10:10],Period_condition_11[10:10],Period_condition_12[10:10],Period_condition_13[10:10],Period_condition_14[10:10],Period_condition_15[10:10],Period_condition[10:10],example_top/Third_moment[32:0],example_top/ii[15:0],example_top/Square_data[20:0],example_top/Period_count[5:0],example_top/ReadPosition[31:0],u_ila_1_Extract_en,u_ila_1_FeatureExtraction_flag,SendIRQ_OBUF_1,SendIRQ_OBUF,example_top/S_FeatureExtraction_flag_reg1,SendBegin_reg,SendOver,example_top/SendToArm_begin,example_top/SendToArm_Over
0,0,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,00004596,1,0,0,0,0,0,1,0,0
1,1,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,00004597,1,0,0,0,0,0,1,0,0
2,2,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,00004598,1,0,0,0,0,0,1,0,0
3,3,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,00004599,1,0,0,0,0,0,1,0,0
4,4,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,0000459a,1,0,0,0,0,0,1,0,0
5,5,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,0000459b,1,0,0,0,0,0,1,0,0
6,6,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,0000459c,1,0,0,0,0,0,1,0,0
7,7,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,0000459d,1,0,0,0,0,0,1,0,0
8,8,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,0000459e,1,0,0,0,0,0,1,0,0
9,9,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,0000459f,1,0,0,0,0,0,1,0,0
10,10,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045a0,1,0,0,0,0,0,1,0,0
11,11,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045a1,1,0,0,0,0,0,1,0,0
12,12,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045a2,1,0,0,0,0,0,1,0,0
13,13,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045a3,1,0,0,0,0,0,1,0,0
14,14,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045a4,1,0,0,0,0,0,1,0,0
15,15,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045a5,1,0,0,0,0,0,1,0,0
16,16,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045a6,1,0,0,0,0,0,1,0,0
17,17,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045a7,1,0,0,0,0,0,1,0,0
18,18,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045a8,1,0,0,0,0,0,1,0,0
19,19,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045a9,1,0,0,0,0,0,1,0,0
20,20,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045aa,1,0,0,0,0,0,1,0,0
21,21,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045ab,1,0,0,0,0,0,1,0,0
22,22,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045ac,1,0,0,0,0,0,1,0,0
23,23,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045ad,1,0,0,0,0,0,1,0,0
24,24,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045ae,1,0,0,0,0,0,1,0,0
25,25,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045af,1,0,0,0,0,0,1,0,0
26,26,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045b0,1,0,0,0,0,0,1,0,0
27,27,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045b1,1,0,0,0,0,0,1,0,0
28,28,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045b2,1,0,0,0,0,0,1,0,0
29,29,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045b3,1,0,0,0,0,0,1,0,0
30,30,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045b4,1,0,0,0,0,0,1,0,0
31,31,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045b5,1,0,0,0,0,0,1,0,0
32,32,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045b6,1,0,0,0,0,0,1,0,0
33,33,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045b7,1,0,0,0,0,0,1,0,0
34,34,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045b8,1,0,0,0,0,0,1,0,0
35,35,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045b9,1,0,0,0,0,0,1,0,0
36,36,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045ba,1,0,0,0,0,0,1,0,0
37,37,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045bb,1,0,0,0,0,0,1,0,0
38,38,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045bc,1,0,0,0,0,0,1,0,0
39,39,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045bd,1,0,0,0,0,0,1,0,0
40,40,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045be,1,0,0,0,0,0,1,0,0
41,41,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045bf,1,0,0,0,0,0,1,0,0
42,42,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045c0,1,0,0,0,0,0,1,0,0
43,43,0,0,000000,0000000000,0,1c,112,0000,0,0,0,000000,0000000000,0000,69,2,0,0,2,0,00000000,00000000,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,000000,00,000045c1,1,0,0,0,0,0,1,0,0
