Sample in Buffer,Sample in Window,TRIGGER,example_top/MonopulseEx_Arithmetic1/Arithmetic1/Arithmetic_State_reg[2]_0[1:1],example_top/CountWrite_tem[31:0],example_top/Monopulse_data1[15:0],example_top/Behind_area[5:0],Behind_area[15:6],example_top/AD_Count[2:0],example_top/Fourth_moment[40:0],example_top/MonopulsePosition_1[5:0],MonopulsePosition[15:6],example_top/MonopulsePosition[31:16],example_top/Monopulse_data_00[7:0],example_top/Monopulse_data_01[7:0],example_top/Count[15:0],example_top/Monopulse_num[15:0],example_top/Monopulse_num_reg[15:0],example_top/Peak_value[7:0],example_top/PeriodPoint_num[31:0],example_top/Period_condition[5:0],Period_condition_1[15:6],example_top/Mean_value[7:0],example_top/Period_count[5:0],example_top/Front_area[5:0],Front_area[15:6],example_top/CountRead_tem[31:0],example_top/Pulse_point_num[15:0],example_top/Monopulse_data_1[7:0],example_top/ReadPosition[31:0],example_top/Read_Fifo_Out[15:0],example_top/Mean_value_remainders[7:0],example_top/Arithmetic_State[2:0],example_top/Read_Fifo_Out_r[15:0],example_top/app_rd_data6[15:0],example_top/app_rd_data1[15:0],example_top/app_rd_data8[15:0],example_top/Third_moment[32:0],example_top/Write_Fifo_rusdw_o[7:0],example_top/Square_data[20:0],example_top/app_rd_data2[15:0],example_top/app_rd_data7[15:0],example_top/ddr3_wr_data_r[127:0],example_top/SendToArm_Data[31:0],example_top/Write_Fifo_datain[7:0],example_top/Total_area_reg[15:0],example_top/ii[15:0],example_top/time_cnt[15:0],example_top/Read_Fifo_wusdw_o[7:0],example_top/SendToArm_Count[7:0],example_top/app_rd_data[127:0],example_top/Second_moment[23:0],example_top/Write_Fifo_Out[127:0],Period_condition_2[10:10],Period_condition_3[10:10],Period_condition_4[10:10],Period_condition_5[10:10],Period_condition_6[10:10],Period_condition_7[10:10],Period_condition_8[10:10],Period_condition_9[10:10],Period_condition_10[10:10],Period_condition_11[10:10],Period_condition_12[10:10],Period_condition_13[10:10],Period_condition_14[10:10],Period_condition_15[10:10],Period_condition_16[10:10],Period_condition[10:10],example_top/app_rd_data4[15:0],example_top/app_wdf_data[127:0],example_top/bit_count[7:0],example_top/Read_Fifo_rusdw_o[10:0],example_top/app_addr_begin[28:0],example_top/ddr3_wr_data[127:0],example_top/state1[3:0],example_top/app_rd_data3[15:0],example_top/app_addr[28:0],example_top/app_rd_data5[15:0],example_top/state[3:0],example_top/Total_area[15:0],example_top/time_cnt_n[15:0],example_top/WaveState[1:0],example_top/app_rd_data_valid,u_ila_0_app_rdy,u_ila_0_clk,example_top/ddr3_allwr_flag,example_top/ddr3_flag,example_top/ddr3_oneperiod_flag,example_top/ddr3_onewr_flag,example_top/ddr3read_en,example_top/ddr3write_en,example_top/Extract_en,example_top/FeatureExtraction_flag,SendIRQ_OBUF_1,init_calib_complete_OBUF,example_top/OnePeriod_flag,SendIRQ_OBUF,example_top/Period_flag,example_top/ProsessIn,example_top/ProsessIn1,example_top/Read_Fifo_empty,example_top/Read_Fifo_full,example_top/Read_Fifo_in_en1,example_top/Read_Fifo_rden,example_top/Read_Fifo_rst,example_top/Read_Fifo_wren,example_top/Read_Over_flag,example_top/S_FeatureExtraction_flag_neg,example_top/S_FeatureExtraction_flag_reg1,example_top/S_FeatureExtraction_flag_reg2,example_top/SendToArm_begin,example_top/SendToArm_Over,example_top/Write_Fifo_empty,example_top/Write_Fifo_full,example_top/WriteSign
0,0,0,0,00de2e7e,116,28,208,7,15360,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-3776,01,000010,009c,0097,00000000000000000000000000000000,0,a8,13968,0040,47,105,00,0096009700980099009a009b009c009d,976,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,a8,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0040,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,00de2e7e,116,28,208,1,15616,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-3840,01,000010,009c,0097,00000000000000000000000000000000,0,a9,13968,0041,97,105,00,0096009700980099009a009b009c009d,992,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,aa,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0061,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2,0,0,00de2e7e,116,28,208,2,15872,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-3904,01,000010,009c,0097,00000000000000000000000000000000,0,ab,13968,0042,97,105,00,0096009700980099009a009b009c009d,1008,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,ab,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0062,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,3,0,0,00de2e7e,116,28,208,3,16128,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-3968,01,000010,009c,0097,00000000000000000000000000000000,0,ac,13968,0043,99,105,00,0096009700980099009a009b009c009d,1024,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,ac,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0063,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,0,0,00de2e7e,116,28,208,4,16384,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4032,01,000010,009c,0097,00000000000000000000000000000000,0,ad,13968,0044,99,105,00,0096009700980099009a009b009c009d,1040,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,ad,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0064,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5,0,0,00de2e7e,116,28,208,6,16640,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4096,01,000010,009c,0097,00000000000000000000000000000000,0,ae,13968,0045,101,105,00,0096009700980099009a009b009c009d,1056,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,af,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0065,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,6,0,0,00de2e7e,116,28,208,7,16896,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4160,01,000010,009c,0097,00000000000000000000000000000000,0,b0,13968,0046,101,105,00,0096009700980099009a009b009c009d,1072,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,b0,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0066,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,7,0,0,00de2e7e,116,28,208,0,17152,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4224,01,000010,009c,0097,00000000000000000000000000000000,0,b1,13968,0047,103,105,00,0096009700980099009a009b009c009d,1088,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,b1,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0067,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,8,0,0,00de2e7e,116,28,208,1,17408,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4288,01,000010,009c,0097,00000000000000000000000000000000,0,b2,13968,0048,103,105,00,0096009700980099009a009b009c009d,1104,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,b2,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0068,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,9,0,0,00de2e7e,116,28,208,3,17664,29,1b7,0000,4e,4f,0011,116,0074,116,00000000,00,000,120,09,34,001,00000e24,15,80,00006dd9,21,48,5,0015,0098,009d,0096,-4352,01,000010,009c,0097,00000000000000000000000000000000,0,b3,13968,0049,105,105,00,0096009700980099009a009b009c009d,1120,007e007f008000810082008300840085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,009a,00000000000000000000000000000000,b4,839,00007118,00000000000000000000000000000000,0,009b,00007118,0099,4,13968,0069,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
