Sample in Buffer,Sample in Window,TRIGGER,example_top/Read_Fifo_wusdw_o[7:0],example_top/CountRead_tem[31:0],example_top/CountWrite_tem[31:0],example_top/Read_Fifo_rusdw_o[10:0],example_top/app_wdf_data[127:0],example_top/app_addr[28:0],example_top/Write_Fifo_Out[127:0],example_top/state1[3:0],example_top/Write_Fifo_rusdw_o[7:0],example_top/state[3:0],example_top/app_rd_data[127:0],example_top/app_addr_begin[28:0],example_top/Write_Fifo_datain[7:0],example_top/ddr3_wr_data[127:0],example_top/app_rd_data_valid,u_ila_0_app_rdy,example_top/ddr3_allwr_flag,example_top/ddr3_oneperiod_flag,example_top/ddr3_onewr_flag,example_top/ddr3read_en,example_top/ddr3write_en,example_top/OnePeriod_flag,example_top/Period_flag,example_top/ProsessIn,example_top/ProsessIn1,example_top/Read_Fifo_empty,example_top/Read_Fifo_full,example_top/Read_Fifo_in_en1,example_top/Read_Fifo_rden,example_top/Read_Fifo_rst,example_top/Read_Fifo_wren,example_top/Read_Over_flag,example_top/StartSample1,example_top/Write_Fifo_empty,example_top/Write_Fifo_full,example_top/WriteSign
0,0,0,0,f8000000,f4024692,2,240328032c033003340338033e4692f8,00032003,0c500c600c7000000000000000020000,0,c4,0,0000000123497c000c000c100c200c30,018c018e,50,00000000100c000c100c200c300c400c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,f9000000,f7024692,2,440348034c035003540358035e4692f9,00034003,0cd00ce00cf000000000000000020000,0,cc,0,0000000123497c800c800c900ca00cb0,019c019e,d0,00000000100c800c900ca00cb00cc00c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,fa000000,f9024692,1,640368036c037003740378037e4692fa,00036003,0d500d600d7000000000000000020000,0,d4,0,0000000123497d000d000d100d200d30,01ac01ae,50,00000000100d000d100d200d300d400d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,fa000000,fc024692,1,640368036c037003740378037e4692fa,00036003,0d500d600d7000000000000000020000,0,d4,0,0000000123497d000d000d100d200d30,01ac01ae,50,00000000100d000d100d200d300d400d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,fa000000,fe024692,1,640368036c037003740378037e4692fa,00036003,0d500d600d7000000000000000020000,0,d4,0,0000000123497d000d000d100d200d30,01ac01ae,50,00000000100d000d100d200d300d400d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,fa000000,01024692,1,640368036c037003740378037e4692fa,00036003,0d500d600d7000000000000000020000,0,d4,0,0000000123497d000d000d100d200d30,01ac01ae,50,00000000100d000d100d200d300d400d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,fa000000,03024692,2,640368036c037003740378037e4692fa,00036003,0d500d600d7000000000000000020000,0,d4,0,0000000123497d000d000d100d200d30,01ac01ae,50,00000000100d000d100d200d300d400d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,fb000000,06024692,2,840388038c039003940398039e4692fb,00038003,0dd00de00df000000000000000020000,0,dc,0,0000000123497d800d800d900da00db0,01bc01be,d0,00000000100d800d900da00db00dc00d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,0,fc000000,08024692,1,a403a803ac03b003b403b803be4692fc,0003a003,0e500e600e7000000000000000020000,0,e4,0,0000000123497e000e000e100e200e30,01cc01ce,50,00000000100e000e100e200e300e400e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,fc000000,0b024692,1,a403a803ac03b003b403b803be4692fc,0003a003,0e500e600e7000000000000000020000,0,e4,0,0000000123497e000e000e100e200e30,01cc01ce,50,00000000100e000e100e200e300e400e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
